Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,cell_id,cell_type,cell_line,treatment,experiment
-0.09053453344684158,-0.05075422230731039,-0.0068882304684626545,0.009772434243478413,0.007893140262739289,-0.011140764431319256,0.014278452165591092,-0.016879777012126736,0.05082466999484778,-0.01632846989405226,HFF_FCCP_A1_N8_1,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684184,-0.038387241401620587,0.017421906146998435,0.019234974546466332,-0.024739405788533477,0.0021018892199616353,0.04440859109336626,-0.016380268892385145,0.03875650156677872,0.001433596421568543,HFF_FCCP_A1_N2_2,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684191,-0.019341038305695203,-0.06594341047510438,0.03869030935109816,0.02931998713115723,-0.0034211708083637022,0.0025235847281592384,0.021925129082274626,-0.019662844203019846,0.03422435169459575,HFF_FCCP_A1_N2_1,fibroblast,HFF,FCCP,Lifetime
-0.0905345334468414,-0.03410065224877475,-0.06032045790394612,0.02580485010590561,0.026632526467581973,0.00455304168632604,-0.004504984692518014,0.014350825687550157,0.025373903892287806,0.0074669411087244985,HFF_FCCP_A1_N5_2,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684173,-0.05798290523211596,0.013768226466656487,-0.014913023016424326,0.02557705871448809,-0.02900281870462371,-0.026404838242123762,-0.014413003081303406,0.0004326807167277116,-0.0020694760994976902,HFF_FCCP_A1_N5_3,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684126,-0.05148334632753788,-0.009449664919423176,0.005697615872490412,0.012626383564844386,-0.012581232550121751,0.0033784152009421462,-0.01700914873172274,0.046536573216332845,-0.02100328274928077,HFF_FCCP_A1_N5_1,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684192,-0.060781282056288605,0.006481342740639978,-0.010858208059034757,0.03319301837975266,-0.040728422567099416,-0.0339748093199603,-0.028948290345402007,0.015319885351023467,-0.009199611605873091,HFF_FCCP_A1_N4_2,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684133,-0.05912727426779972,0.002453131525169694,-2.603675882260546e-05,0.018170737753359843,-0.02840478680125846,0.002394434803315557,-0.022510928895183406,0.04642950514740901,-0.015986846207302154,HFF_FCCP_A1_N4_1,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684192,-0.030050621835084338,-0.047583132795458644,0.04138685593491545,0.010274112793075515,-0.0015646340252511526,0.008563222392188664,-0.010117140074311982,-0.0010908530211522663,0.021530238653844333,HFF_FCCP_A1_N4_3,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684183,-0.023220750310271127,-0.06896707010068187,0.021462242306351468,0.02210665232464831,0.00883091584485965,-0.006796898107814148,0.022162129950166226,0.0008034629537844617,0.009416547072162235,HFF_FCCP_A1_N7_1,fibroblast,HFF,FCCP,Lifetime
-0.0905345334468418,-0.050360177280397066,0.010628148572007971,0.005090478110318247,0.006447024777823682,-0.019448768639814696,0.011822236827023361,-0.011773189391630213,0.034490727911424685,0.0009672676377251307,HFF_FCCP_A1_N7_2,fibroblast,HFF,FCCP,Lifetime
