mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment,cell_id,cell_mito_count,cell_total_mito_area_(pixels_squared),cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension,cell_type
265,766,2.890566037735849,1363,389,0.2853998532648569,-142.391960557696,4947,0.0535678188801293,HFF,FCCP,HFF_FCCP_A1_N8_1,4,27.5,-76.71837320009094,42.03178974078519,30.43440225486313,0.6897153969536967,0.0196183342250757,0.0297619047619047,0.7492508274784343,fibroblast
1574,5426,3.4472681067344344,1853,883,0.4765245547760388,-121.69731253026008,8809,0.1786808945396753,HFF,FCCP,HFF_FCCP_A1_N2_2,21,141.5,-81.61113705427779,55.377583215294464,49.256540966113455,0.4569991180500311,0.0485920329670329,0.0676467073024979,0.7158376019405168,fibroblast
997,3481,3.4914744232698096,935,449,0.4802139037433155,-122.00663720285606,4387,0.2272623660816047,HFF,FCCP,HFF_FCCP_A1_N2_1,11,129.25,-14.309442714561753,55.57024661052177,25.26643326573336,0.8906571342221207,0.085567692816948,0.1203445065176908,0.792867498129536,fibroblast
621,1836,2.9565217391304346,839,334,0.3980929678188319,-123.31261696835396,4383,0.1416837782340862,HFF,FCCP,HFF_FCCP_A1_N5_2,9,66.25,-55.95459359571417,54.90653293581655,21.72659850376653,0.9183791741982528,0.0370422141459323,0.071313240043057,0.7355278825118652,fibroblast
462,1488,3.220779220779221,1619,358,0.221124150710315,-164.73723893267632,7706,0.0599532831559823,HFF,FCCP,HFF_FCCP_A1_N5_3,6,33.5,65.28830317863981,73.88378430067324,27.5167535748728,0.9280591142945582,0.012085137085137,0.0211991773453567,0.7279373819332775,fibroblast
210,593,2.823809523809524,1474,395,0.26797829036635,-144.82857483189764,6424,0.0326899128268991,HFF,FCCP,HFF_FCCP_A1_N5_1,3,20.0,-74.82505840189656,51.07772852840047,27.8157248033196,0.83871124941274,0.010432968179447,0.019295706705258,0.7053972348987623,fibroblast
259,849,3.277992277992278,1802,436,0.2419533851276359,-160.28384114501011,4010,0.0645885286783042,HFF,FCCP,HFF_FCCP_A1_N4_2,3,29.0,7.0190622082552085,50.92932843583901,19.638703839378948,0.9226631386681916,0.0243186582809224,0.0399586634516017,0.7388806256908552,fibroblast
1684,5730,3.4026128266033253,3024,1449,0.4791666666666667,-120.55540020794317,11310,0.148894783377542,HFF,FCCP,HFF_FCCP_A1_N4_1,20,166.25,-52.08542652419172,83.77145672578463,44.94184932490412,0.8439119854831283,0.0372862349313148,0.0602573396158028,0.7065613967334764,fibroblast
413,1511,3.658595641646489,672,285,0.4241071428571428,-132.52318456832165,3077,0.1342216444588885,HFF,FCCP,HFF_FCCP_A1_N4_3,4,37.5,-68.10713318291893,31.164636690504345,23.53203398213921,0.655623793359733,0.0452488687782805,0.0659050966608084,0.7572863810032707,fibroblast
246,723,2.9390243902439024,376,124,0.3297872340425531,-134.52419373669247,1957,0.1257026060296372,HFF,FCCP,HFF_FCCP_A1_N7_1,6,33.75,-85.56051766739964,52.86403925987937,8.814608617658966,0.9860007109691584,0.0661764705882353,0.0965665236051502,0.6791546428706777,fibroblast
239,715,2.99163179916318,870,233,0.267816091954023,-148.4163355539937,4110,0.0581508515815085,HFF,FCCP,HFF_FCCP_A1_N7_2,3,16.5,33.98758078096992,34.68977064569774,28.212584298735568,0.5818689997121984,0.0158730158730158,0.022289766970618,0.6573325395944146,fibroblast
188,679,3.611702127659575,755,324,0.4291390728476821,-131.0044339884047,2442,0.0769860769860769,HFF,FCCP,HFF_FCCP_A1_N6_2,2,10.75,-14.53358559529886,30.10318408870199,18.46368129547856,0.7898139806832213,0.0176229508196721,0.0248124639353721,0.706559898311503,fibroblast
