na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,cell_id,treatment,cell_line,normrr
26.85127135,73.14872865,1981.270468,935.3206009,epithelial,23.29565848,76.70434152,495.407345,339.0155263,777.5848415,2442.018421,MCF10A_cntrl_01_255,control,MCF10A,0.654945231
29.03517477,70.96482523,2192.860374,655.5078417,epithelial,20.65034393,79.34965514,302.0164206,346.0546262,875.6090847,2091.939439,MCF10A_cntrl_01_86,control,MCF10A,0.671109644
28.85648041,71.14351959,2121.192878,701.6739232,epithelial,21.89072997,78.10927014,314.4703519,369.6732757,870.1657955,2133.927392,MCF10A_cntrl_01_90,control,MCF10A,0.69928442
26.49991189,73.50008811,2038.081388,1074.80689,epithelial,22.82467224,77.17532742,560.334985,422.8579714,843.0604626,3027.447272,MCF10A_cntrl_05_133,control,MCF10A,0.702032386
25.23011498,74.76988502,2172.996789,984.0545344,epithelial,22.32964808,77.67035203,520.5201346,400.8200214,842.8850626,2740.307797,MCF10A_cntrl_03_213,control,MCF10A,0.756285798
26.97035781,73.02964219,2141.951581,884.3236859,epithelial,21.54320177,78.45679816,446.7767005,396.2023414,860.9030899,2654.653939,MCF10A_cntrl_01_62,control,MCF10A,0.768882773
25.85173158,74.14826839,2243.285286,943.9945634,epithelial,22.04762018,77.95237958,502.0459354,413.0459918,876.3417008,2727.355935,MCF10A_cntrl_01_119,control,MCF10A,0.773099964
24.89482103,75.10517892,2158.152216,1111.708404,epithelial,21.64760528,78.35239477,616.0281459,394.1830631,824.316244,3105.291454,MCF10A_cntrl_01_231,control,MCF10A,0.783798616
26.24510514,73.75489486,2141.953788,1043.303117,epithelial,22.84909402,77.15090603,551.9601156,392.4632492,846.5956838,2779.086145,MCF10A_cntrl_01_211,control,MCF10A,0.790413635
28.05383774,71.94616226,2205.141601,1052.136093,epithelial,21.13133247,78.86866732,567.4985159,409.7783503,904.1949011,3051.369949,MCF10A_cntrl_01_152,control,MCF10A,0.791115849
25.95129071,74.04870925,2275.053433,1133.433645,epithelial,21.25414036,78.7458593,636.7565064,429.637605,897.3074861,3111.228083,MCF10A_cntrl_01_92,control,MCF10A,0.796537478
28.44402473,71.55597527,2256.222812,1031.4323,epithelial,21.10279741,78.89720243,561.9435741,440.2683939,945.391154,2911.264396,MCF10A_cntrl_01_187,control,MCF10A,0.798378338
24.29574548,75.70425454,2013.146842,1064.058031,epithelial,21.73982779,78.26017202,579.0311192,332.7353277,738.1669237,2922.590789,MCF10A_cntrl_04_111,control,MCF10A,0.798912779
26.8898285,73.1101715,2234.493993,899.6953745,epithelial,19.44133911,80.55866077,481.2795026,397.1750695,882.2508694,2709.292176,MCF10A_cntrl_01_68,control,MCF10A,0.800864191
25.43644427,74.56355568,2222.984176,1115.284406,epithelial,21.40976088,78.59023902,622.5077304,421.564608,870.8061559,3127.503954,MCF10A_cntrl_01_141,control,MCF10A,0.801240786
25.23916994,74.76083006,2183.89823,1127.491477,epithelial,21.39050874,78.60949129,617.6904073,416.6842051,854.6540751,3055.269073,MCF10A_cntrl_01_114,control,MCF10A,0.80425321
28.18708187,71.81291816,2229.245538,1132.46129,epithelial,22.00223066,77.99776943,616.5171065,400.5184462,907.1697151,3082.778735,MCF10A_cntrl_01_174,control,MCF10A,0.804944883
26.04543047,73.95456953,2524.048516,744.221701,epithelial,16.95851469,83.04148516,368.7993289,510.4285547,1021.950024,3283.700367,MCF10A_cntrl_05_104,control,MCF10A,0.810883436
26.93365077,73.06634923,2134.3237,959.1851707,epithelial,20.48223822,79.51776179,506.9938675,402.680065,865.4136731,2835.641497,MCF10A_cntrl_01_103,control,MCF10A,0.811155384
27.47172736,72.52827264,2202.825886,1107.643021,epithelial,21.27850002,78.72149996,630.3393465,420.2252972,900.6562395,3122.347327,MCF10A_cntrl_01_160,control,MCF10A,0.81171271
27.25528174,72.74471826,2123.721299,1115.183777,epithelial,21.71280199,78.28719815,612.2797028,411.7093958,873.5456389,3111.854794,MCF10A_cntrl_01_235,control,MCF10A,0.812974845
25.99032136,74.00967864,2310.369258,1169.956207,epithelial,20.97665146,79.02334843,663.6960845,437.0868697,914.5138769,3163.269995,MCF10A_cntrl_01_51,control,MCF10A,0.813838808
28.83245538,71.16754461,2234.404378,1065.565675,epithelial,20.79896715,79.20103263,577.4391505,408.115245,924.996839,3080.419969,MCF10A_cntrl_01_169,control,MCF10A,0.813939549
26.64430286,73.35569714,2197.914753,1087.619227,epithelial,20.26836612,79.73163346,597.4127246,425.682349,891.7982345,3349.763029,MCF10A_cntrl_01_189,control,MCF10A,0.814191141
28.77758066,71.22241934,2095.614908,1079.82388,epithelial,23.49801677,76.50198319,563.4617573,356.7371248,854.3712171,2903.150857,MCF10A_cntrl_04_255,control,MCF10A,0.814717321
26.44908789,73.55091211,2149.869394,1021.299778,epithelial,21.03739304,78.96260713,560.7771948,398.8133271,856.9828504,2862.040533,MCF10A_cntrl_01_158,control,MCF10A,0.815074782
23.87010961,76.12989039,2118.716719,1096.945386,epithelial,21.8515386,78.14846134,602.1616511,435.3174963,832.8159053,2984.244573,MCF10A_cntrl_05_20,control,MCF10A,0.818098624
27.08840559,72.91159441,2118.394887,1042.506114,epithelial,20.66520534,79.33479475,566.6604497,396.8992736,857.7670315,2984.202083,MCF10A_cntrl_01_112,control,MCF10A,0.818446114
27.05133793,72.94866207,2217.452687,837.9027228,epithelial,19.18488947,80.81511046,446.852861,401.3908564,883.8879899,2630.497807,MCF10A_cntrl_01_42,control,MCF10A,0.821837265
