na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,cell_id,treatment,cell_line,normrr
29.56077971,70.43922029,2046.128882,1133.592097,epithelial,24.43061787,75.56938204,613.3998408,341.9243354,843.6418601,3014.535323,MCF7_cntrl_07_67,control,MCF7,0.653381974
31.53166825,68.46833175,2174.504719,721.7265908,epithelial,20.74831157,79.25168791,323.3778804,363.9469088,932.8015896,2544.83867,MCF7_cntrl_04_25,control,MCF7,0.68900664
29.30775205,70.69224795,2262.82127,902.4235235,epithelial,23.96480042,76.03519933,449.5038459,370.5302254,921.7377628,2562.077389,MCF7_cntrl_06_214,control,MCF7,0.694563332
31.0685799,68.9314201,2225.348684,711.7030896,epithelial,19.86344173,80.13655834,343.1964848,361.4281196,940.4209931,2351.778844,MCF7_cntrl_04_138,control,MCF7,0.717866325
31.5929785,68.4070215,2171.351593,736.0327772,epithelial,18.98048424,81.01951574,342.3138219,382.259144,944.9362085,2654.568937,MCF7_cntrl_04_172,control,MCF7,0.7219167
29.94956498,70.05043502,2280.433502,894.4482385,epithelial,21.55826484,78.44173485,473.7846574,401.8269662,959.3371066,2605.289203,MCF7_cntrl_06_120,control,MCF7,0.73425982
33.00391014,66.99608986,2182.307936,727.490621,epithelial,20.04691244,79.95308743,307.4764615,368.6529284,965.457474,3043.323237,MCF7_cntrl_04_152,control,MCF7,0.734282475
32.28149702,67.71850298,2203.796883,965.8104155,epithelial,20.96981314,79.03018676,486.756987,387.1065691,966.840006,3620.304198,MCF7_cntrl_06_230,control,MCF7,0.73435148
32.3331551,67.6668449,2183.872235,696.4000067,epithelial,19.48934358,80.51065593,331.65696,350.1353235,944.7881579,2541.169796,MCF7_cntrl_04_61,control,MCF7,0.743315693
34.41927658,65.58072342,2299.945908,577.2145608,epithelial,16.56240436,83.43759611,280.2229222,389.0107402,1043.884408,2342.410899,MCF7_cntrl_04_153,control,MCF7,0.748590488
30.33814391,69.66185609,2221.209929,1099.996873,epithelial,22.34463385,77.65536627,639.3787125,381.0389589,937.699273,2964.525877,MCF7_cntrl_07_119,control,MCF7,0.74905987
