mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment,cell_id,cell_mito_count,cell_total_mito_area_(pixels_squared),cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension,cell_type
714,6730,9.42577030812325,516,1199,2.3236434108527133,-86.11913085132412,1862,0.3834586466165413,MCF7,FCCP,MCF7_FCCP_A1_N12_50,1,165.0,-84.42550035693624,37.16654393434872,16.680072464902477,0.8936359101374438,0.2864583333333333,0.351250665247472,1.1655327034745266,epithelial
539,4399,8.161410018552875,579,1167,2.0155440414507773,-86.00945943715894,1679,0.3210244192972007,MCF7,FCCP,MCF7_FCCP_A1_N12_41,4,106.5,73.28880580008875,24.931186920531328,21.89207684137269,0.4784770389875842,0.1898395721925133,0.2520710059171597,0.9500545556787,epithelial
693,7719,11.13852813852814,542,1368,2.5239852398523985,-91.30111680855173,1744,0.3973623853211009,MCF7,FCCP,MCF7_FCCP_A1_N12_57,2,149.75,88.59469054745047,31.85418677636995,18.799451711533216,0.807277470465069,0.2425101214574898,0.3220430107526881,1.139104366382325,epithelial
945,9944,10.522751322751322,725,2254,3.1089655172413795,-74.98385445603307,2735,0.3455210237659963,MCF7,FCCP,MCF7_FCCP_A1_N12_12,5,192.5,-1.9356322291056376,38.93307917200681,24.34407510875316,0.780400501041746,0.1805816135084427,0.2688547486033519,1.0205069864984246,epithelial
960,10140,10.5625,475,1623,3.4168421052631577,-69.40848359600555,2272,0.4225352112676056,MCF7,FCCP,MCF7_FCCP_A1_N12_49,3,223.25,60.9096671921218,35.97553950463336,21.293388416785422,0.8060222963433813,0.2537652742256323,0.3755256518082422,1.1355347359141574,epithelial
422,3700,8.76777251184834,437,1140,2.608695652173913,-74.55229495565621,1329,0.3175319789315274,MCF7,FCCP,MCF7_FCCP_A1_N12_22,4,84.5,-82.81622106888898,21.935857143581337,19.772947147925542,0.4329906163481433,0.1788359788359788,0.2514880952380952,0.979992463599094,epithelial
498,5227,10.495983935742972,514,1449,2.8190661478599224,-80.84710202659922,1460,0.3410958904109589,MCF7,FCCP,MCF7_FCCP_A1_N12_9,5,108.75,30.68799696726521,35.332402321939234,14.77031644291766,0.9084291547250238,0.1487179487179487,0.2802835051546392,1.1054155853403853,epithelial
552,4809,8.71195652173913,305,917,3.00655737704918,-65.42989301011814,1268,0.4353312302839117,MCF7,FCCP,MCF7_FCCP_A1_N12_20,2,129.5,88.00413052320188,22.99833069608876,18.88156895580061,0.5709319773339596,0.2781954887218045,0.4021739130434782,1.040234603819954,epithelial
466,3977,8.534334763948499,640,1317,2.0578125,-87.48091397008761,1451,0.321157822191592,MCF7,FCCP,MCF7_FCCP_A1_N12_19,4,102.25,5.939760038512743,23.535287732514448,21.65833349110428,0.3913324852658104,0.1543396226415094,0.2683727034120735,0.9418244902705568,epithelial
399,3229,8.092731829573935,226,423,1.871681415929204,-90.04394420680681,1000,0.399,MCF7,FCCP,MCF7_FCCP_A1_N12_52,3,81.25,-58.9246549150648,34.984817568853,11.114391107711906,0.9481940170824824,0.1219054763690922,0.2780153977758768,1.0140250636390808,epithelial
690,7359,10.665217391304347,609,1432,2.351395730706076,-92.9866873147629,2105,0.3277909738717339,MCF7,FCCP,MCF7_FCCP_A1_N12_28,1,153.5,35.76773679958863,33.962066820812204,20.3129704410221,0.8014158053428548,0.1957908163265306,0.2933588150979455,1.150882821341945,epithelial
412,3594,8.723300970873787,390,966,2.476923076923077,-77.42730830866685,1032,0.3992248062015504,MCF7,FCCP,MCF7_FCCP_A1_N12_58,2,81.75,-89.78135136803722,31.514336319842887,12.116046242598143,0.923141063225959,0.2096153846153846,0.290150842945874,1.039397929755997,epithelial
671,5503,8.201192250372578,461,1095,2.3752711496746204,-76.20882836129866,1643,0.4083992696287279,MCF7,FCCP,MCF7_FCCP_A1_N12_53,5,153.25,86.1488010477288,30.34671290668655,19.98257825761084,0.7526018372182296,0.275753486279802,0.3333333333333333,1.0765983904011158,epithelial
469,3516,7.49680170575693,298,573,1.922818791946309,-83.68208199919137,1139,0.4117647058823529,MCF7,FCCP,MCF7_FCCP_A1_N12_26,4,105.0,32.30079874087566,25.31305188304464,15.260972231157073,0.7978247280063406,0.227027027027027,0.3497085761865112,1.0000844290517763,epithelial
226,1925,8.517699115044248,215,543,2.525581395348837,-74.76400977206455,595,0.3798319327731092,MCF7,FCCP,MCF7_FCCP_A1_N12_40,2,50.5,13.497958967726255,16.536636123948547,13.045348176502504,0.6145529610165547,0.1882572227399813,0.3186119873817035,0.9802154902241378,epithelial
703,7556,10.748221906116642,593,1665,2.807757166947724,-82.55479150372587,1976,0.3557692307692308,MCF7,FCCP,MCF7_FCCP_A1_N12_56,3,158.0,-74.32569713579484,25.5659972228518,23.77691998339664,0.367505818047132,0.2636629119732999,0.3418063818280151,1.146878608827148,epithelial
515,4739,9.201941747572816,388,1314,3.38659793814433,-61.47470270577805,1113,0.4627133872416891,MCF7,FCCP,MCF7_FCCP_A1_N12_29,4,126.5,85.8983287299264,20.40906924213906,18.02688228708376,0.468849589875989,0.3335530652603823,0.4419213973799126,1.0850575579657926,epithelial
870,7589,8.722988505747127,734,1382,1.88283378746594,-94.29081120559432,2494,0.3488372093023256,MCF7,FCCP,MCF7_FCCP_A1_N12_8,4,193.0,-71.75838388398678,37.762988652567145,23.72901908573189,0.7779169666359866,0.181390977443609,0.2970373220469411,1.0596409475351074,epithelial
526,4826,9.17490494296578,279,700,2.508960573476702,-79.74111403385153,1225,0.4293877551020408,MCF7,FCCP,MCF7_FCCP_A1_N12_51,4,120.25,-79.96394253903348,36.391475564731294,12.989803841418082,0.9341248919005825,0.2082251082251082,0.3495639534883721,1.1365445335345807,epithelial
663,6601,9.956259426847662,374,1189,3.179144385026738,-70.20774454693948,1566,0.4233716475095785,MCF7,FCCP,MCF7_FCCP_A1_N12_21,2,149.75,58.42063512077202,31.05262161572909,17.23333575503766,0.8318690227034832,0.2367588932806324,0.3808010171646535,1.1090957708322544,epithelial
486,4957,10.199588477366255,665,1567,2.356390977443609,-90.11079460382469,1641,0.2961608775137112,MCF7,FCCP,MCF7_FCCP_A1_N12_11,4,103.0,-32.183073106227845,26.372266220026937,20.58386283546268,0.6251411495416879,0.1907407407407407,0.2481927710843373,1.0672064716603584,epithelial
585,5023,8.586324786324786,348,909,2.612068965517241,-73.1867332000838,1486,0.3936742934051144,MCF7,FCCP,MCF7_FCCP_A1_N12_54,6,133.75,-22.91469699961644,26.606988939679155,17.93871942241887,0.7385389569203072,0.2743589743589743,0.3600269179004037,1.094698989387766,epithelial
353,2767,7.838526912181303,345,780,2.260869565217391,-76.46303734238312,882,0.4002267573696145,MCF7,FCCP,MCF7_FCCP_A1_N12_31,2,81.25,-33.827116989089205,20.47500002782906,15.404388787681189,0.6587623416314867,0.2192982456140351,0.3371369294605809,1.090973446389602,epithelial
254,1877,7.389763779527559,233,381,1.6351931330472105,-92.76259315242876,673,0.3774145616641902,MCF7,FCCP,MCF7_FCCP_A1_N12_55,1,51.75,-64.57774512124838,18.34993109339281,11.908760187083445,0.7608044493151785,0.2274725274725274,0.3039647577092511,1.008661771724709,epithelial
604,4499,7.448675496688741,519,1187,2.2870905587668595,-72.61647674694854,1333,0.4531132783195798,MCF7,FCCP,MCF7_FCCP_A1_N12_32,3,135.25,41.436598080832944,23.535340592984287,18.997960987922404,0.5902644361090218,0.230017006802721,0.3960468521229868,1.071043203639753,epithelial
857,7169,8.365227537922987,666,1763,2.647147147147148,-70.76196293895309,2013,0.425732737208147,MCF7,FCCP,MCF7_FCCP_A1_N12_18,3,193.5,-75.29063269239454,34.918296772724986,22.34793553714693,0.7683695270139702,0.233695652173913,0.3334769495906937,1.0844826457853929,epithelial
831,8611,10.362214199759324,699,2115,3.025751072961373,-75.70690532154015,2330,0.3566523605150214,MCF7,FCCP,MCF7_FCCP_A1_N12_48,6,191.75,63.64983285641429,32.02380233440663,27.16549578233944,0.5295307147997003,0.2140066964285714,0.2852361472666418,1.1038379170888577,epithelial
564,5457,9.675531914893616,492,1393,2.8313008130081303,-75.57513344164153,1678,0.3361144219308701,MCF7,FCCP,MCF7_FCCP_A1_N12_3,3,120.5,-78.03310692318139,26.90782227299533,18.744523925830013,0.7174404105121187,0.2288698955365622,0.3091725465041693,1.0996705093506267,epithelial
