na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,base_name,treatment,cell_line,normrr
24.26451657,75.73548342,2221.44847,1290.907438,epithelial,21.98850345,78.01149657,791.6971657,431.7122724,855.0478062,3133.905318,A549_cntrl_05_90,control,A549,0.731528258
24.79807628,75.20192366,2228.424635,1315.227507,epithelial,22.24134665,77.75865345,832.483958,423.962916,862.2251159,3067.048693,A549_cntrl_05_230,control,A549,0.755526616
24.45541434,75.54458568,2320.982601,1337.901942,epithelial,22.83470121,77.16529888,800.1507939,432.7928823,879.6365434,3235.308813,A549_cntrl_06_255,control,A549,0.760994439
28.08056038,71.91943962,2382.325254,1464.530832,epithelial,24.14469899,75.85530108,886.5492881,479.7073771,1000.305114,3538.503061,A549_cntrl_02_112,control,A549,0.768892936
22.59914134,77.4008586,2196.668847,1238.70384,epithelial,22.33968047,77.66031958,747.2890529,424.7497146,814.1092069,3058.715979,A549_cntrl_06_223,control,A549,0.777081618
23.66576938,76.33423068,2232.429281,1416.591008,epithelial,21.86739876,78.13260128,881.4293594,419.4428216,834.41529,3548.717773,A549_cntrl_02_133,control,A549,0.780887688
24.09842475,75.90157525,2242.004169,1304.888696,epithelial,22.04456881,77.95543119,794.2008644,432.5852915,860.4737249,3184.636475,A549_cntrl_04_255,control,A549,0.782816391
22.62651975,77.37348019,2224.274707,1255.21677,epithelial,21.19200261,78.80799757,785.458992,437.6811941,834.3167473,3076.42482,A549_cntrl_06_88,control,A549,0.788860098
22.73679159,77.26320839,2279.965853,1283.252073,epithelial,21.85263591,78.14736406,767.9707226,434.1559687,838.5719926,3203.949991,A549_cntrl_02_170,control,A549,0.791183793
24.05484827,75.94515173,2279.256637,1228.487575,epithelial,21.34361964,78.65638037,750.1358524,438.611962,868.0910732,3126.671563,A549_cntrl_05_148,control,A549,0.792758841
23.2565447,76.7434553,2275.513099,1265.499996,epithelial,21.18960177,78.81039839,786.8151291,441.0354737,856.4999006,3149.982476,A549_cntrl_05_173,control,A549,0.795560298
22.8168202,77.18317976,2208.902894,1269.998552,epithelial,20.90013119,79.09986859,810.1050055,439.2403443,834.6348405,3059.709899,A549_cntrl_04_164,control,A549,0.798590968
22.94858825,77.05141172,2321.293218,1257.832196,epithelial,21.1155604,78.88443964,765.5225712,447.4800201,863.9015822,3171.232991,A549_cntrl_05_160,control,A549,0.799004133
23.9372194,76.06278063,2267.798177,1322.573933,epithelial,22.65214202,77.34785801,782.404368,437.7544947,861.938137,3352.976127,A549_cntrl_02_139,control,A549,0.799978439
22.65422397,77.34577602,2253.075726,1264.509449,epithelial,21.74275359,78.25724636,784.4523236,440.1227002,839.961688,3134.708929,A549_cntrl_06_195,control,A549,0.80073319
22.42112909,77.57887091,2222.261019,1275.211589,epithelial,22.49414263,77.5058571,845.5084268,425.8266093,821.838557,2885.278779,A549_cntrl_05_66,control,A549,0.80297267
23.62195219,76.37804786,2335.0783,1363.087925,epithelial,22.02813004,77.97187015,844.1156019,444.9544081,877.5055371,3267.267185,A549_cntrl_02_116,control,A549,0.803870894
22.77909396,77.22090604,2306.307796,1269.316042,epithelial,21.54625694,78.45374312,772.3216302,448.3964045,854.1976637,3211.579028,A549_cntrl_06_236,control,A549,0.804703104
22.26811787,77.73188218,2290.185056,1225.899912,epithelial,22.03542081,77.96457918,712.466679,446.483931,844.2232324,3173.222066,A549_cntrl_05_119,control,A549,0.806062075
21.77441984,78.22558016,2238.905795,1292.411184,epithelial,21.23206417,78.76793579,846.6478264,433.9566832,819.8515251,3077.093607,A549_cntrl_04_73,control,A549,0.806190986
22.952638,77.04736203,2348.516874,1320.078174,epithelial,22.70393042,77.29606929,816.6061736,434.9557193,859.9650653,3246.876246,A549_cntrl_04_142,control,A549,0.808027661
22.94578954,77.05421042,2238.68372,1222.607109,epithelial,19.98905241,80.01094758,796.3989214,445.7653803,845.3367735,3017.707922,A549_cntrl_02_109,control,A549,0.808668423
21.60792114,78.39207894,2179.333106,1206.14809,epithelial,20.5296575,79.47034252,762.5616621,416.1440985,787.9542905,3076.408082,A549_cntrl_05_218,control,A549,0.808995173
22.6066073,77.3933927,2200.198346,1262.397454,epithelial,20.47645323,79.52354699,826.6070402,440.8403838,829.6331354,3017.887782,A549_cntrl_02_68,control,A549,0.809123044
22.65445133,77.34554867,2278.997765,1245.7684,epithelial,20.09023966,79.90976034,806.9881701,446.4408398,853.3001035,3031.543216,A549_cntrl_04_128,control,A549,0.809368688
22.7007195,77.2992805,2254.122933,1226.817715,epithelial,20.15442556,79.84557443,789.6796811,448.0016029,850.1809947,3099.394227,A549_cntrl_04_138,control,A549,0.810448969
22.76390236,77.23609764,2332.656618,1247.480849,epithelial,21.20565632,78.79434371,757.7440149,462.2955169,875.9651888,3132.870112,A549_cntrl_05_197,control,A549,0.811329286
21.56848685,78.43151309,2255.192508,1287.417608,epithelial,21.83686943,78.16313052,759.185477,432.8821717,811.5870683,3330.660423,A549_cntrl_02_214,control,A549,0.811656197
24.49751173,75.50248822,2257.036128,1274.581627,epithelial,21.50229833,78.49770149,784.1832374,437.6246835,870.775936,3216.687998,A549_cntrl_05_25,control,A549,0.811856856
21.53982258,78.46017742,2495.388065,1329.813368,epithelial,22.02131935,77.97868065,845.0033226,500.673,917.8309369,3126.093871,A549_cntrl_04_211,control,A549,0.813370576
23.07137253,76.92862744,2310.986751,1256.108919,epithelial,20.95474078,79.04525911,763.529165,447.5775337,862.2613785,3356.029966,A549_cntrl_05_53,control,A549,0.814063726
23.01319013,76.98680986,2206.847613,1206.581339,epithelial,20.4080828,79.59191721,774.9847601,421.6285083,824.7080605,2952.881951,A549_cntrl_06_172,control,A549,0.815147415
21.96608809,78.03391196,2237.906452,1208.946989,epithelial,20.90871449,79.09128571,752.8261914,454.3255892,835.1735639,3062.401763,A549_cntrl_06_176,control,A549,0.815755524
22.46319221,77.53680763,2281.537532,1222.664627,epithelial,20.83879518,79.16120492,773.7636921,447.9469478,848.0809793,3004.865275,A549_cntrl_06_232,control,A549,0.816356662
23.56536661,76.43463338,2218.00712,1251.873162,epithelial,20.65666668,79.34333325,806.3507353,424.7098534,835.4043392,3054.536708,A549_cntrl_03_78,control,A549,0.816950349
22.85049642,77.14950356,2298.183252,1284.600368,epithelial,20.98579782,79.01420227,803.7945016,429.239788,841.9565259,3185.553908,A549_cntrl_02_197,control,A549,0.817414603
22.86324255,77.13675744,2224.371945,1211.190657,epithelial,21.88919774,78.11080235,716.4144909,447.640688,842.4760958,3069.447799,A549_cntrl_06_185,control,A549,0.817639377
21.89340363,78.10659638,2231.64677,1263.27636,epithelial,20.27638805,79.7236119,793.3318561,443.174529,823.0375505,3200.24236,A549_cntrl_02_143,control,A549,0.817973061
22.13132338,77.86867661,2264.688627,1281.401686,epithelial,21.32541082,78.67458916,776.0955675,435.5242276,827.6844279,3267.169042,A549_cntrl_02_146,control,A549,0.818097957
22.37823031,77.62176965,2335.30713,1252.347702,epithelial,20.72659962,79.27340037,777.6707469,442.3423498,853.4621535,3151.7035,A549_cntrl_02_129,control,A549,0.818582495
22.94397862,77.05602137,2394.237381,1235.769132,epithelial,22.17274428,77.8272557,653.6383621,462.2357782,887.5960572,3375.31814,A549_cntrl_01_234,control,A549,0.819875971
23.26912682,76.73087348,2275.506591,1219.683674,epithelial,20.31413788,79.68586212,772.9905758,448.3331439,858.725568,3025.421288,A549_cntrl_06_158,control,A549,0.820235258
24.23479203,75.76520797,2221.080699,1280.13623,epithelial,20.88961857,79.11038142,824.9273485,439.2985133,863.560079,3079.462566,A549_cntrl_05_99,control,A549,0.820293352
24.01535938,75.98464062,2183.857748,1200.645446,epithelial,19.16221076,80.83778901,795.4896863,424.9807775,840.5750727,2981.413164,A549_cntrl_06_162,control,A549,0.821076625
22.7644839,77.23551614,2336.022743,1251.134923,epithelial,21.57047071,78.42952942,657.5020914,457.1054822,870.2442615,3522.35803,A549_cntrl_01_175,control,A549,0.82119017
23.90696882,76.09303124,2374.235057,1255.133574,epithelial,21.54408648,78.45591355,752.1759119,457.7129222,903.0833791,3182.750768,A549_cntrl_04_153,control,A549,0.821389675
21.89754658,78.10245343,2305.224746,1309.389505,epithelial,21.71603711,78.28396284,803.1585269,445.3752896,840.4994768,3252.609984,A549_cntrl_02_221,control,A549,0.822051743
22.91388177,77.08611829,2303.658484,1238.529388,epithelial,21.44103848,78.55896145,740.4923839,447.3434942,858.7044415,3174.585239,A549_cntrl_02_204,control,A549,0.822342851
21.42883986,78.57116,2335.690056,1255.733228,epithelial,20.90041153,79.09958841,746.0104995,458.0598582,843.1936011,3281.444374,A549_cntrl_02_177,control,A549,0.823206238
22.1210786,77.8789214,2241.594954,1220.571563,epithelial,20.52448895,79.47551133,842.9303264,439.0436547,827.5259202,2821.369175,A549_cntrl_03_68,control,A549,0.824386465
21.59286038,78.40713953,2286.998535,1245.394815,epithelial,20.93005252,79.06994741,780.5568857,445.1001164,829.6265882,3075.977923,A549_cntrl_02_156,control,A549,0.824414701
21.60698259,78.39301756,2303.744014,1251.987281,epithelial,22.43979339,77.56020665,629.2600307,434.0328368,824.5417522,3594.321825,A549_cntrl_01_85,control,A549,0.824517156
22.07091858,77.92908144,2252.956699,1259.820467,epithelial,20.71165822,79.28834188,808.9675811,437.1131516,826.7706409,3085.139655,A549_cntrl_02_54,control,A549,0.824788401
22.43276961,77.5672304,2218.400292,1251.182325,epithelial,20.9366118,79.06338815,780.4840785,433.692307,822.1680095,3153.821972,A549_cntrl_05_177,control,A549,0.824904202
21.93266894,78.06733107,2248.004499,1203.774999,epithelial,20.15424122,79.84575872,794.8923594,432.1107757,817.8237834,2970.570219,A549_cntrl_03_141,control,A549,0.825574094
21.81408171,78.18591821,2173.691036,1211.697941,epithelial,19.6203025,80.37969752,779.3079786,428.6802429,800.6086699,2997.723732,A549_cntrl_06_134,control,A549,0.825840054
22.28445096,77.71554919,2237.120558,1170.43655,epithelial,20.58355662,79.41644334,718.8805669,437.8183103,825.3770801,3040.937544,A549_cntrl_06_102,control,A549,0.826110238
22.10203324,77.89796673,2284.491377,1253.626822,epithelial,21.51997245,78.48002737,749.4199409,446.6180238,838.0147546,3191.545304,A549_cntrl_02_173,control,A549,0.826332344
23.31304574,76.68695426,2217.183703,1270.763553,epithelial,20.10746124,79.89253847,825.1954109,430.718601,840.5236031,3110.21997,A549_cntrl_02_180,control,A549,0.826640386
22.33541611,77.66458401,2212.15958,1204.98719,epithelial,20.07255444,79.92744555,763.6742189,435.44058,819.6189929,3017.806775,A549_cntrl_05_169,control,A549,0.826744891
22.91804839,77.0819516,2272.854716,1222.618111,epithelial,20.64670961,79.35329037,751.9626402,452.8117134,857.1084973,3110.282401,A549_cntrl_05_251,control,A549,0.826803925
24.16531134,75.83468866,2214.45403,1221.721836,epithelial,19.71861247,80.28138757,840.7850567,429.9055765,853.4670783,2848.003534,A549_cntrl_03_156,control,A549,0.827320201
22.93090439,77.06909565,2235.170186,1246.487438,epithelial,20.80708991,79.19291009,775.9795932,446.6733137,847.7618946,3087.952671,A549_cntrl_06_153,control,A549,0.827550019
22.15338494,77.84661509,2230.006589,1217.716682,epithelial,20.27935016,79.72064985,797.9783299,444.8235177,829.7845325,2986.305992,A549_cntrl_03_177,control,A549,0.827785401
23.10716767,76.89283242,2248.966895,1296.993513,epithelial,21.65048222,78.34951765,808.9727209,427.1106983,834.5031126,3275.125119,A549_cntrl_05_103,control,A549,0.828135217
23.1612689,76.8387311,2250.917734,1262.877074,epithelial,20.19797244,79.80202742,820.2325211,453.7433364,858.7722678,3114.125945,A549_cntrl_04_84,control,A549,0.828269009
22.73142006,77.26857994,2239.786629,1204.601627,epithelial,19.76899187,80.23100835,809.9228992,454.1523462,852.1888944,2859.684125,A549_cntrl_02_122,control,A549,0.828335939
22.37677643,77.62322357,2199.472628,1166.287653,epithelial,21.58154907,78.41845083,736.4168727,421.0362778,807.9166874,2841.417713,A549_cntrl_06_93,control,A549,0.828740019
21.44531901,78.55468095,2223.150153,1202.014692,epithelial,20.26701909,79.73298116,775.194425,449.2375822,820.3551586,2970.694712,A549_cntrl_06_79,control,A549,0.828906666
22.98679421,77.01320582,2301.535685,1270.709278,epithelial,20.42062223,79.57937793,831.2646863,440.4406837,854.3776499,3126.36287,A549_cntrl_03_130,control,A549,0.829147822
24.09621181,75.90378821,2336.943145,1294.887977,epithelial,21.10700668,78.89299324,791.2055426,451.4826325,892.3596235,3430.55107,A549_cntrl_05_144,control,A549,0.82972991
22.52406094,77.47593909,2239.118932,1259.918588,epithelial,21.09949967,78.90050033,818.626729,433.0186315,830.8239831,2979.681527,A549_cntrl_03_245,control,A549,0.829768542
21.45781054,78.5421894,2208.370656,1190.070941,epithelial,20.73847248,79.26152748,756.6096731,435.7312765,804.350936,2990.204424,A549_cntrl_05_140,control,A549,0.829805678
21.99276887,78.00723113,2253.787105,1233.43121,epithelial,19.97668377,80.02331629,792.0689589,441.3476265,827.2535094,3151.721849,A549_cntrl_03_219,control,A549,0.82985502
23.33547075,76.66452925,2322.755027,1221.394346,epithelial,20.9798755,79.02012461,753.4538446,459.0534625,877.4286458,3085.818186,A549_cntrl_05_255,control,A549,0.830098961
22.50776928,77.49223067,2247.830569,1254.964427,epithelial,20.69267133,79.30732866,849.557431,439.6301707,836.4754791,2942.320962,A549_cntrl_03_62,control,A549,0.830127528
21.43589419,78.56410579,2285.953313,1158.859892,epithelial,19.70993739,80.29006268,784.0985453,448.1551241,833.8870261,2875.647928,A549_cntrl_04_95,control,A549,0.83018471
24.08135718,75.91864283,2258.392803,1248.224378,epithelial,20.69527522,79.30472505,818.7539283,425.4094276,856.877342,3032.544846,A549_cntrl_03_135,control,A549,0.830998132
22.59327009,77.40672991,2223.311929,1204.954385,epithelial,19.82645764,80.1735423,800.0964291,444.9263962,837.8643818,2898.640083,A549_cntrl_02_187,control,A549,0.831001511
22.2705329,77.72946719,2207.797293,1243.00192,epithelial,20.10980575,79.89019412,785.8271786,441.4085924,821.3809598,3242.14581,A549_cntrl_02_163,control,A549,0.831124896
22.54830348,77.45169652,2167.677169,1224.421005,epithelial,19.76301616,80.23698378,830.3963955,437.4187472,818.6095683,2891.212009,A549_cntrl_05_107,control,A549,0.831175094
22.82646859,77.17353136,2218.92767,1224.776632,epithelial,20.53848936,79.46151068,814.2253528,430.5586969,828.9426392,2936.391084,A549_cntrl_03_88,control,A549,0.831479239
21.33533064,78.66466938,2225.219678,1166.226414,epithelial,19.3454549,80.65454503,768.2118983,452.9633275,822.5350633,2859.339283,A549_cntrl_04_182,control,A549,0.831637389
21.69404228,78.30595759,2213.03324,1210.316523,epithelial,20.19251705,79.80748291,824.3909185,427.9618627,806.6402604,2810.716909,A549_cntrl_04_62,control,A549,0.831657945
22.20498435,77.79501563,2178.277211,1201.582079,epithelial,20.04180306,79.95819681,798.7710848,430.4487137,809.1854518,2919.956817,A549_cntrl_03_203,control,A549,0.831889342
22.31200929,77.68799078,2303.777652,1237.494771,epithelial,21.61107294,78.38892704,737.5301782,450.9213438,847.1389689,3152.8363,A549_cntrl_05_239,control,A549,0.831940672
22.86474723,77.13525277,2191.326834,1224.883395,epithelial,20.24694527,79.75305465,780.8624222,439.7740125,830.6569343,3054.727837,A549_cntrl_06_199,control,A549,0.832118211
22.11536749,77.88463252,2198.029474,1247.216049,epithelial,20.06848387,79.93151607,828.542426,429.5514282,811.1346539,3024.265878,A549_cntrl_03_146,control,A549,0.832237379
23.96400813,76.03599191,2277.792672,1219.234185,epithelial,20.96535961,79.03464051,737.8711213,440.0755543,868.2006346,3205.093591,A549_cntrl_05_247,control,A549,0.832358251
22.5392407,77.46075937,2334.773982,1308.764873,epithelial,20.83592245,79.16407751,806.5549002,468.6493615,873.9982687,3528.518431,A549_cntrl_02_207,control,A549,0.832587913
23.67163493,76.32836505,2244.306224,1193.286999,epithelial,19.92993893,80.07006114,742.1744396,438.117426,853.5708501,3056.604422,A549_cntrl_05_181,control,A549,0.832953338
21.92821489,78.0717851,2212.596733,1204.011921,epithelial,19.75255695,80.24744316,788.5429801,442.1474051,817.3281516,2959.947014,A549_cntrl_02_228,control,A549,0.833163663
22.87463219,77.12536772,2326.068692,1296.925197,epithelial,21.68546333,78.31453671,695.2597289,436.2084473,850.6554795,3545.896624,A549_cntrl_01_250,control,A549,0.833200311
21.74738307,78.25261685,2155.989002,1172.599944,epithelial,18.97191401,81.0280859,803.8740397,430.6659583,796.9573382,2780.916404,A549_cntrl_03_187,control,A549,0.833236057
23.37506422,76.62493578,2210.975963,1232.795318,epithelial,20.30892694,79.69107302,813.6827642,423.8446768,832.8352342,3095.01661,A549_cntrl_03_161,control,A549,0.833552481
22.74880718,77.25119281,2280.807476,1198.382235,epithelial,20.11393143,79.88606829,773.408819,447.0905161,853.8099119,2955.224855,A549_cntrl_04_222,control,A549,0.83395623
22.54129087,77.45870914,2236.870811,1282.942943,epithelial,21.05030913,78.94969091,829.9489021,450.131212,842.385846,3489.92829,A549_cntrl_02_150,control,A549,0.83432294
22.33507374,77.66492623,2247.222526,1249.510861,epithelial,20.42066285,79.57933722,821.7451305,455.0668689,846.430059,3007.810319,A549_cntrl_04_149,control,A549,0.834364177
23.45768224,76.54231777,2149.538016,1221.749284,epithelial,21.0318828,78.96811686,754.1265435,419.622738,813.7347078,3197.972704,A549_cntrl_06_14,control,A549,0.834800419
23.7991869,76.20081316,2211.952548,1258.133694,epithelial,20.3386586,79.6613413,810.8251677,432.5980679,844.8505954,3077.824394,A549_cntrl_02_85,control,A549,0.835010082
22.4187283,77.58127177,2233.75216,1234.251285,epithelial,20.58881346,79.41118642,799.8404045,431.2221825,825.5517708,2966.497663,A549_cntrl_04_76,control,A549,0.835125382
22.63269117,77.36730883,2200.098561,1247.358328,epithelial,20.68347692,79.31652288,790.9841553,439.9370635,828.5988708,3091.851094,A549_cntrl_02_167,control,A549,0.835203865
22.09937061,77.90062939,2286.622927,1217.056443,epithelial,20.32778333,79.67221661,812.7190427,453.398989,848.1900823,2881.398491,A549_cntrl_02_61,control,A549,0.835418604
22.04899499,77.95100506,2260.066696,1208.624339,epithelial,21.33782342,78.66217645,749.5203689,432.3155353,819.8261937,2997.783644,A549_cntrl_05_33,control,A549,0.835580331
23.33120017,76.66879981,2256.675291,1213.321705,epithelial,21.69074578,78.30925412,792.2192104,449.1427861,860.7362981,3515.026049,A549_cntrl_04_106,control,A549,0.836105507
23.24445657,76.75554338,2265.383539,1218.430339,epithelial,20.26095756,79.73904223,746.1383612,429.7317241,843.8958927,3162.474047,A549_cntrl_05_41,control,A549,0.836269438
